matrix_id,workspace,app,browser_path,logical_route_or_bff,entry_owner,read_model_or_dto,allowed_action_source,loading,empty,partial,ready,blocked,stale,conflict,unknown,permission_denied,error,submitting,committed,reused,command_conflict,failed,evidence_level,notes
ADM-ROOT,Admin Delivery & Trust,admin,/,root App,apps/admin/src/App.tsx,TenantAdminSummaryDTO + PlatformAdminAuthorityDTO,BFF allowed_actions,source state,observed summary/package empty,observed D5/D6 empty,observed authenticated,not captured,not captured,source labels,negative auth evidence,observed wrong-password,not captured,not captured,not captured,not captured,observed auth failure,observed runtime+DOM,Single root; no React Router
ADM-TENANT,Admin Delivery & Trust,admin,/,GET /api/v1/bff/admin/tenant-summary,apps/admin/src/admin-bff.ts,TenantAdminSummaryDTO,tenant:read; user:read; course:read; audit:read,source client,observed counts,observed tenant_demo summary,not captured,observed,not captured,not captured,not captured,not captured,not captured,not applicable,not applicable,not applicable,not applicable,not captured,source+runtime,Visible tenant ids server-owned
ADM-AUTHORITY,Admin Delivery & Trust,admin,/,GET /api/v1/bff/admin/platform-authority?scope=platform,apps/admin/src/admin-bff.ts,PlatformAdminAuthorityDTO,platform admin allowed_actions,source client,not captured,not captured,not captured,not captured,not captured,not captured,not captured,not captured,not captured,not applicable,not applicable,not applicable,not applicable,not captured,source,Platform scope must stay separate from tenant scope
ADM-D5,Admin Delivery & Trust,admin,/,/api/v1/bff/admin/learning-exports*,apps/admin/src/D5ExportWorkbench.tsx,D5 list/preview/bundle DTO,server action list,source state,observed no eligible report,source preview,not captured,not captured,not captured,not captured,not captured,source errors,observed seal/job submit in source,not captured,not captured,not captured,source retry/cancel,source+runtime,Export is tenant-safe and read-only wrt truth
ADM-D6,Admin Delivery & Trust,admin,/,/api/v1/bff/admin/transfer-research-designs*,apps/admin/src/features/transfer-research-workbench.tsx,D6 design/projection DTO,server action list,source state,observed no frozen design,observed synthetic preview,observed synthetic-only ready,known limit,not captured,known limit,not captured,source error,source create/freeze/retire,not captured,not captured,source revision conflict possible,source errors,source+runtime,No causal/HR/Truth/Score/Rank/Settlement visibility
ADM-REPORT,Admin Delivery & Trust,admin,/,/api/v1/bff/admin/course-reports,apps/admin/src/CourseReportBuilder.tsx,server-safe course report,server allowed_actions,source state,observed empty form,source preview,not captured,source form ready,not captured,not captured,not captured,not captured,source error,source preview/export submit,source export receipt,not captured,not captured,source error,source+runtime,No Student-private/internal digest/canonical Decision/Replay internals
ADM-PACKAGE,Admin Delivery & Trust,admin,/,/api/v1/admin/course-package-versions*,apps/admin/src/App.tsx,CoursePackageVersion server DTO,server validation/action,source loading,observed empty package,source import/create form,source authenticated,source package validation,not captured,not captured,not captured,source state label,source error,source create/import submit,source receipt,not captured,not captured,source error,source+DOM,Immutable snapshot only
TCH-ROOT,Teacher Course OS,teacher,/,root App,apps/teacher/src/App.tsx,TeacherBffWorkspaceDTO + P0 state,BFF allowed_actions,source state,observed not-created/empty,observed package/report empties,observed authenticated ready,source round guards,observed D3 STALE,source 409 handlers,source Unknown labels,observed wrong-password,source next-step actions,source notices,not captured,source API error branch,source error,source+runtime,Single long workbench page; direct settle call is existing debt
TCH-GOLDEN,Teacher Course OS,teacher,/,GET /api/v1/bff/teacher/golden-journey/status,apps/teacher/src/features/GoldenJourneyWorkbench.tsx,journey status + receipts + allowed_actions,view_context; view_allowed_actions; view_receipts; view_provenance; view_teacher_facts; recover/abort/reset/cleanup,source refresh,observed KNOWN_LIMIT slices,observed D2/D3/D4 states,observed ready,known limits,observed D3 stale,not captured,source slice unknown,source error,source refresh,source receipts,source recover actions,source abort/reset,source error,source+runtime+DOM,Receipt status is not production readiness
TCH-VALIDATION,Teacher Course OS,teacher,/,/api/v1/bff/teacher/validation-sessions*,apps/teacher/src/ValidationSessionWorkbench.tsx,validation session DTO,session allowed_actions,source loading,source idle/no session,source synthetic rehearsal,observed idle ready,known limit,not captured,source conflict handling,source unknown,source permission path,source errors,source create/observe submit,source observation receipt,not captured,source session conflict,source error,source+DOM,Human Validation remains not performed
