inventory_id,workspace,app,browser_path,render_mode,ui_surface,current_source_refs,bff_or_runtime_paths,primary_task,authority_source,observed_state_evidence,coverage_status,notes
ADM-LOGIN,Admin Delivery & Trust,admin,/,single-root login,管理员登录,apps/admin/src/App.tsx; apps/admin/src/main.tsx,POST /api/v1/auth/login,认证并建立 tenant scope,Auth API + session,initial 1440x900; authenticated after demo login,observed,登录表单与业务 workbench 同处单一 App
ADM-LIMITS,Admin Delivery & Trust,admin,/,authenticated section,已知限制与内部使用说明,apps/admin/src/App.tsx,GET /api/v1/bff/admin/tenant-summary,理解 JSON_INTERNAL_ONLY/SYNTHETIC_ONLY 边界,Known Limits projection,authenticated; disclosure collapsed/expanded in DOM,observed,Known Limit 不能伪装成生产能力
ADM-D5,Admin Delivery & Trust,admin,/,authenticated workbench,D5 Evidence Export Workbench,apps/admin/src/D5ExportWorkbench.tsx; apps/admin/src/d5-export-client.ts,/api/v1/bff/admin/learning-reports; /learning-exports; /learning-exports/preview; /learning-exports/seal; /learning-exports/jobs,预览并封存 tenant-safe 学习导出,Admin BFF + audit receipt,authenticated; empty report observed,observed,Student route/raw evidence/score/rank/settlement 不导出
ADM-D6,Admin Delivery & Trust,admin,/,authenticated workbench,D6 Transfer Research Governance,apps/admin/src/features/transfer-research-workbench.tsx; apps/admin/src/features/transfer-research-client.ts,/api/v1/bff/admin/transfer-research-designs; /preview; /freeze; /synthetic-preview; /revise; /retire,治理 synthetic-only transfer research design,Admin BFF + known limits,authenticated; synthetic-only; empty design observed,observed,Real records/causal claims/HR outputs/Truth/Score/Rank/Settlement 不可见
ADM-SUMMARY,Admin Delivery & Trust,admin,/,authenticated workbench,租户只读摘要,apps/admin/src/App.tsx; apps/admin/src/admin-bff.ts,/api/v1/bff/admin/tenant-summary,查看当前 tenant 的课程/队伍/运行/审计计数,createTenantAdminSummaryDto,authenticated; tenant_demo counts observed,observed,visible_tenant_ids 由服务端投影
ADM-LIFECYCLE,Admin Delivery & Trust,admin,/,authenticated workbench,预结算运行控制,apps/admin/src/App.tsx; apps/admin/src/admin-bff.ts,/api/v1/bff/admin/run-lifecycle-controls; POST .../lifecycle/:operation,在当前 tenant 内操作未结算未发布 synthetic run,allowed_actions + server command,authenticated; no run empty observed,partial,PR1 只定义 action/receipt，不扩大 settle authority
ADM-REPORT,Admin Delivery & Trust,admin,/,authenticated workbench,Admin Course Report Builder,apps/admin/src/CourseReportBuilder.tsx; apps/admin/src/course-report-client.ts,/api/v1/bff/admin/course-reports,预览和导出 server-safe 课程报告,Admin BFF read-only projection,authenticated; empty form and KPI selector observed,observed,不展示 Student-private/internal digest/canonical Decision/Replay internals
ADM-PACKAGE,Admin Delivery & Trust,admin,/,authenticated workbench,CoursePackageVersion administration,apps/admin/src/App.tsx; apps/admin/src/course-package-client.ts,/api/v1/admin/course-package-versions; /course-package-versions/import,创建/导入/导出 immutable teaching/config snapshot,Admin API + server validation,authenticated; no package empty observed,partial,不得本地计算 digest 或修改 truth
TCH-LOGIN,Teacher Course OS,teacher,/,single-root login,教师登录,apps/teacher/src/App.tsx; apps/teacher/src/main.tsx,POST /api/v1/auth/login,认证教师并加载 course/run context,Auth API + session,initial 1440x1288; authenticated after demo login,observed,登录与所有教学 workbench 同处单一 App
TCH-GOLDEN,Teacher Course OS,teacher,/,authenticated workbench,R3 Golden Teaching Journey,apps/teacher/src/features/GoldenJourneyWorkbench.tsx,GET /api/v1/bff/teacher/golden-journey/status,查看 D1/R7/M1/D2-D6 journey、exact refs、receipts、allowed actions,Teacher BFF projection,authenticated; ready journey and 8 slices observed,observed,跨 slice 只读 receipt，不把 status 当生产 readiness
TCH-VALIDATION,Teacher Course OS,teacher,/,authenticated workbench,W023 Validation Session Control Plane,apps/teacher/src/ValidationSessionWorkbench.tsx,POST/GET /api/v1/bff/teacher/validation-sessions...,主持 synthetic rehearsal 和观察记录,Teacher command + session receipt,authenticated; idle/synthetic-only observed,partial,Human Validation 与真实人类 attestation 未证明
