SURFACE_ID,ROLE,APP,NAV_ID,LABEL,SOURCE_ANCHOR,PATTERN_BASIS,CURRENT_DESIGN_CLASS,FIGMA_AUTHORITY,STATE_COVERAGE,RESPONSIVE_COVERAGE,BASELINE_STATUS,OWNER,NOTES
TCH-01,Teacher,teacher,teacher-today,今日工作,apps/teacher/src/App.tsx;apps/teacher/src/TeacherCourseWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Teacher App owner,Current Figma has no role-specific authority frame.
TCH-02,Teacher,teacher,teacher-blockers,即将阻断,apps/teacher/src/App.tsx;apps/teacher/src/TeacherCourseWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Teacher App owner,Current Figma has no role-specific authority frame.
TCH-03,Teacher,teacher,teacher-courses,课程与班级,apps/teacher/src/App.tsx;apps/teacher/src/TeacherCourseWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Teacher App owner,Current Figma has no role-specific authority frame.
TCH-04,Teacher,teacher,teacher-readiness,开课准备,apps/teacher/src/App.tsx;apps/teacher/src/TeacherCourseWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Teacher App owner,Current Figma has no role-specific authority frame.
TCH-05,Teacher,teacher,teacher-teams-roles,团队与角色,apps/teacher/src/App.tsx;apps/teacher/src/TeacherCourseWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Teacher App owner,Current Figma has no role-specific authority frame.
TCH-06,Teacher,teacher,teacher-round-control,轮次控制,apps/teacher/src/App.tsx;apps/teacher/src/TeacherCourseWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Teacher App owner,Current Figma has no role-specific authority frame.
TCH-07,Teacher,teacher,teacher-results,结果发布,apps/teacher/src/App.tsx;apps/teacher/src/TeacherCourseWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Teacher App owner,Current Figma has no role-specific authority frame.
TCH-08,Teacher,teacher,teacher-debrief,复盘工作室,apps/teacher/src/App.tsx;apps/teacher/src/TeacherCourseWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Teacher App owner,Current Figma has no role-specific authority frame.
TCH-09,Teacher,teacher,teacher-evidence,学习证据确认,apps/teacher/src/App.tsx;apps/teacher/src/TeacherCourseWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Teacher App owner,Current Figma has no role-specific authority frame.
TCH-10,Teacher,teacher,teacher-reports,报告生成,apps/teacher/src/App.tsx;apps/teacher/src/TeacherCourseWorkspace.tsx,DERIVED_FROM_CANONICAL_PATTERN,DESIGN_GAP,NOT_PROVEN_CURRENT_ROLE_NODE,source_and_runtime_required,1440+390_required,NOT_CAPTURED_THIS_PHASE,Teacher App owner,Current Figma has no role-specific authority frame.
