component_id,kind,workspace,current_source_refs,current_reuse_or_duplication,target_shared_name,current_state_support,current_authority_contract,pr1_action,owner_pr,known_limit
CMP-AUTH,foundation,Admin;Teacher;Student,apps/admin/src/App.tsx; apps/teacher/src/App.tsx; apps/student/src/App.tsx,3 login form implementations,AuthForm,initial;submitting;error;permission denied,session returned by POST /api/v1/auth/login; no local authority,freeze contract and copy glossary,PR1,Current forms share shape but not implementation
CMP-KNOWN-LIMIT,foundation,Admin;Teacher;Student,packages/ui/src/components/KnownLimitBanner.tsx; packages/ui/src/index.ts,tracked shared implementation,KnownLimitBanner,collapsed;expanded;loading;unknown,Known Limits projection only; never hide limitation,implemented-pr1-code-first; current limitation/unaffected/not-proven/scope remain explicit,PR1,Current product text includes English/Internal runtime terms
CMP-CSS-TOKENS,foundation,Admin;Teacher;Student,apps/admin/src/styles.css; apps/teacher/src/styles.css; apps/student/src/styles.css,3 independent CSS token layers,DesignTokens,default;focus;disabled;reduced motion,Tokens are presentation only; no business data,freeze design-tokens.json and migration order,PR1,Deterministic exact-SHA scan: 258 color refs and 682 unit-like literals; commands and regex are in README; neither count is pure semantic token debt
CMP-APP-SHELL,layout,Admin;Teacher;Student,packages/ui/src/components/AppShell.tsx; packages/ui/src/index.ts,tracked shared implementation,AppShell,loading;ready;permission denied;error,accept server role/context projection; no inferred scope,implemented-pr1-code-first; run DesignSystemLab for visual/semantic readback,PR1,App migrations still pending; no React Router in current product apps
CMP-ROLE-NAV,layout,Admin;Teacher;Student,No current shared component; navigation is inline in App workbenches,0 shared implementation,RoleNavigation,default;collapsed;focus;disabled,items derived from allowed visibility; no route deletion,freeze target contract,PR1,No React Router in current SHA
CMP-CONTEXT-BAR,context,Admin;Teacher;Student,packages/ui/src/components/ContextBar.tsx; packages/ui/src/index.ts,tracked shared implementation,ContextBar,loading;ready;stale;unknown,render tenant/course/session/run/round/team/role/mode only from BFF/session,implemented-pr1-code-first; app migration remains separate,PR1,Current product fields remain spread across long pages
CMP-AUTHORITY,context,Admin;Teacher;Student,packages/ui/src/components/AuthorityBadge.tsx; packages/ui/src/index.ts,tracked shared implementation,AuthorityBadge,official;draft;shadow;advisory;system-result;ai-explanation;teacher-comment;unknown,source/evidence_label and BFF role; never derive from color,implemented-pr1-code-first; canonical enum + Chinese labels remain frozen,PR1,Current product labels mix English and Chinese; app migration remains pending
CMP-ALLOWED-ACTION,command,Admin;Teacher;Student,packages/ui/src/components/AllowedActionButton.tsx; packages/ui/src/index.ts,tracked shared implementation,AllowedActionButton,ready;disabled;loading;submitting;permission denied;error,only BFF allowed_actions or explicit server action,implemented-pr1-code-first; disabled reason remains server-facing,PR1,Must not turn UI disable into permission source
CMP-RECEIPT,trust,Admin;Teacher;Student,packages/ui/src/components/ReceiptPanel.tsx; packages/ui/src/index.ts,tracked shared implementation,ReceiptPanel,loading;committed;reused;conflict;failed,command/actor/timestamp/correlation_id/status/reuse_conflict/exact_ref from server,implemented-pr1-code-first; read-only receipt fields remain structured,PR1,ExactRef must remain readable and copyable; reused means idempotent receipt reuse, conflict means server rejection or reconfirmation required
CMP-EVIDENCE,trust,Teacher;Student,apps/teacher/src/EvidenceWorkbench.tsx; apps/teacher/src/TeacherConfirmationWorkbench.tsx; apps/student/src/StudentLearningReport.tsx,teacher evidence and student-safe report are related but not shared visibility,EvidenceDrawer,loading;empty;ready;stale;permission denied;error,read-only projection; modifications route to Sole Writer/new version,freeze read-only contract,PR1,No student raw evidence
CMP-STATE,feedback,Admin;Teacher;Student,packages/ui/src/components/StatePanel.tsx; packages/ui/src/index.ts,tracked shared implementation,StatePanel,loading;empty;partial;ready;blocked;stale;conflict;unknown;permission denied;error recovery,render server status and next safe action,implemented-pr1-code-first; product matrix still records evidence level,PR1,Current product full coverage is not measured
CMP-ERROR-RECOVERY,feedback,Admin;Teacher;Student,Local setNotice/setError branches across apps,multiple bespoke error strings,ErrorRecovery,failed;retry;restore draft;permission denied,never expose raw exception as primary heading; preserve drafts,freeze copy/action contract,PR1,Current English errors are debt
CMP-EMPTY,feedback,Admin;Teacher;Student,Local `No ... available`/`暂无...` branches,multiple bespoke empty messages,EmptyState,empty;known limit;next action,empty is distinct from unknown and permission denied,freeze semantics,PR1,No data must state scope and next action
CMP-DIALOG-DRAWER,interaction,Teacher;Student,No shared implementation; native details/sections used,0 shared implementation,DialogDrawer,closed;open;focus trapped;close;error,read-only evidence or confirmation only; no hidden authority,freeze interaction contract,PR1,Current focus management not fully measured
CMP-DATA-TABLE,data,Admin;Teacher,CourseReportBuilder and package/report forms,2 business-specific table/form patterns,DataTable,loading;empty;sort;filter;error;responsive,server projection only; no client KPI computation,freeze table contract,PR1,Responsive behavior not measured at 390
CMP-METRIC,data,Admin;Teacher;Student,inline metric arrays in App.tsx,3 inline metric presentations,Metric,loading;ready;unknown;stale,display server values and units; do not calculate score/rank,freeze numeric semantics,PR1,Current metrics include runtime statuses and safe counts
CMP-GOLDEN-JOURNEY,workflow,Teacher;Student,apps/teacher/src/features/GoldenJourneyWorkbench.tsx; apps/student/src/GoldenJourneyWorkbench.tsx,2 separate workbench implementations,GoldenJourney,loading;ready;known limit;stale;error,Teacher sees teacher facts; Student sees safe receipts only,freeze mapping and visibility split,PR1,Do not merge projections by visual similarity
CMP-COURSE-REPORT,workflow,Admin;Teacher,apps/admin/src/CourseReportBuilder.tsx; apps/teacher/src/CourseReportBuilder.tsx,2 copies,CourseReportBuilder,loading;empty;ready;permission denied;error,Admin/Teacher BFF DTOs remain separate,freeze mapping and scope matrix,PR1,No shared data client without scope parameter
CMP-D5,workflow,Admin;Teacher,apps/admin/src/D5ExportWorkbench.tsx; apps/teacher/src/D5ExportWorkbench.tsx,2 copies,D5ExportWorkbench,loading;empty;preview;sealed;queued;retry;cancel;error,tenant-safe export scope from role BFF,freeze family mapping and separate actions,PR1,Shared family cannot share authority
CMP-D6,workflow,Admin;Teacher,apps/admin/src/features/transfer-research-workbench.tsx; apps/teacher/src/features/transfer-research-workbench.tsx,2 copies,D6TransferResearchWorkbench,loading;empty;synthetic preview;frozen;retired;error,synthetic-only and no Truth/Score/Rank/Settlement,freeze family mapping and known-limit copy,PR1,No real enterprise data contract
CMP-ROLE-WORKFLOW,workflow,Teacher;Student,apps/teacher/src/RoleWorkflowPanel.tsx; apps/student/src/StudentRoleWorkflowPanel.tsx,2 role-specific surfaces with different visibility,RoleDraftLane,waiting;draft;ready;merge;confirm;blocked;conflict,role member writes own section; merge+team confirmation precede canonical,freeze state and ownership boundary,PR1,Student/Teacher components must not become a shared writer
